translit,pos,english,logograms,cuneiform,freq
quppu,AJ,collapsed,,,6
quālu,V,pay attention; be(come) silent; heed; silent,,,6
rab kāri,N,harbourmaster; quay overseer; chief of trade,,,6
rabbu,N,soft one,,,6
ramku,AJ,bathed; soaked; washed,,,6
ramīmu,N,roar; rumbling,,,6
riddu,N,(good) conduct; education,,,6
rugbu,N,loft,,,6
rīqūtu,N,emptiness,,,6
sabirru,N,ring; bracelet,HAR,,6
sakku,AJ,blocked; deaf,,,6
sakālu,V,balk; rear up; acquire; appropriate,,,6
samullu,N,(a tree),,,6
sapdu,AJ,mourning,,,6
sapsapānu,N,moustachioed; (a fish),,,6
sarāhu,V,destroy; be ruined; meaning unknown,,,6
sebettu,N,group of seven,,,6
serremtu,N,female onager,,,6
sibbirru,N,(a tree); (a medicinal plant),,,6
sudduru,AJ,set about with stones; set about,,,6
suhuru,N,the sign SUHUR,,,6
sullumu,AJ,reconciled,,,6
suqtu,N,chin,,,6
surrudu,AJ,packed up,,,6
tablu,AJ,taken away; removed; theft,,,6
talmīdu,N,apprentice; student,,,6
tamšāru,N,whip(-thong); whip-(thong),,,6
tapšertu,N,(magical) release,,,6
tarbâtu,N,greatness,,,6
tarpašu,N,otter,,,6
tasgallu,N,(a kind of bed),,,6
tašnintu,N,battle,,,6
tašīhu,N,(a kind of vegetation),,,6
temmenu,N,the sign TE,,,6
tikitlû,N,lute; (a bird),,,6
tumru,N,(glowing) charcoal; ashes,NE.MUR.RA,,6
tumāgu,N,(a kind of flour),,,6
tunšu,N,(a ceremonial garment); drapes,,,6
tupninnu,N,box,,,6
tākilu,N,one who trusts,,,6
tēbibtu,N,purification,,,6
tēgirtu,N,negotiation?; negotiation; excuse,,,6
tēlītu,N,produce; revenue; disbursals; yield,,,6
tēṣītu,N,quarrel,,,6
uhhu,N,phlegm; (copper) slag,,,6
umṣu,N,hunger,,,6
upellû,N,charcoal; charcoal-burner; charcoal burner,,,6
upputtu,N,blind (snake),,,6
uppušu,AJ,well looked-after; properly executed,,,6
upqu,N,block,,,6
uqūru,N,palm-heart; palm-milk?; (a kind of reed),,,6
urgulû,N,(a lion); urgulû-instrument; figurine; an instrument,,,6
urnu,N,(snake)?,,,6
urnīgu,N,crane,,,6
urrupu,AJ,clouded; darkened; clouded darkness,,,6
ussuhtu,AJ,(designation of a plant),,,6
utuplu,N,scarf; scarf?,,,6
ušpāru,N,weaver,,,6
U₂.KU₆,N,(a variety of fennel),,,6
waqru,N,valuable one; rare one; precious one,,,6
warāšu,V,be(come) dirty; be(com)ing dirty; defile; (be)come dirty; being dirty,,,6
wârum,V,go up to; going up to,,,6
zadimmu,N,lapidary,,,6
zahannu,N,(a garden plant),,,6
zammeru,N,singer,,,6
zanzalliqu,N,(a tree),,,6
zerqūtu,N,(a head covering),,,6
ziqnānu,N,bearded one; a fish,,,6
zuʾʾunu,AJ,decorated; adorned,,,6
zāriqu,N,(a palace employee); female sprinkler; male sprinkler,,,6
āliktu,N,going; a kind of bow; goer; (a kind of metal weapon),,,6
ēkīam,QP,where?,,,6
ēnû,N,substitute,,,6
ērib bēti,N,temple-enterer,,,6
ētiqu,N,passer-by; one who goes past; one who transgresses,,,6
ša rēši,N,eunuch,,,6
ša-šērāti,AV,in the morning,,,6
ša-šīmi,N,man bought; bought slave,,,6
šaduppu,N,tablet basket; (a tablet basket),NI.UM.BA.A PISAN.DUB.BA.A,𒉌𒌝𒁀𒀀,6
šagapūru,AJ,mighty,,,6
šallapittu,N,(a clay plaster); shoes treated with clay plaster,,,6
šalšiānu,AV,for the third time,,,6
šambaliltu,N,fenugreek,,,6
šamṭu,AJ,flattened; torn loose; (meaning uncertain),,,6
šanunkatu,N,princess,,,6
šapiltu,AJ,second in rank,,,6
šapāṣu,V,clasp; grappling; clasping,,,6
šaqummiš,AV,quite silently; in silence,,,6
šarhu,N,proud one,,,6
šarāru,V,go ahead; going ahead; encouraging; (meaning unclear),,,6
šaššaṭu,N,(a disease of the joints),,,6
šehlu,N,high water?; high water,,,6
šerku,N,temple oblate; gift,,,6
šibsātu,N,anger,,,6
šikāru,N,beer,,,6
šilingu,N,(a bird),,,6
šilpu,N,withdrawal; (meaning unknown),,,6
šilqu,N,split piece; splinter,,,6
šinnû,NU,two each,,,6
šudingirrakku,N,god's hand; hand of a god (disease); god's hand (a serious illness),,,6
šuglû,N,deported; deportee,,,6
šugrû,N,basket,,,6
šukudu,N,arrow; Sirius; sharp end of a spindle,,,6
šukurgallu,N,big lance,,,6
šukû,N,doorpost; pole (of ladder),,,6
šunamerimmakku,N,'hand-of-a-curse',,,6
šuparruru,N,spread out one,,,6
šuppulu,AJ,very deep; very low; very short,,,6
šupšuqtu,N,woman labouring (in childbirth); (a stone),,,6
šurqu,N,theft,,,6
šushuru,AJ,encircled; won round,,,6
šutbû,AJ,raised,,,6
šutû,N,woven material; warp,,,6
šutēmuqu,AJ,supplicating,,,6
šušippu,N,towel,,,6
šêqu,V,level off; leveling off; levelling off,,,6
šāmu,N,purchased one,,,6
šēšû,N,(a small net),,,6
šīmu,AJ,fixed; determined; purchased,,,6
šūšuru,AJ,in order; normal,,,6
ḫuluḫḫu,N,(light-coloured slag); (a kind of light-coloured primitive glass),,,6
ḫulālu,N,(a valuable stone); (a semi-precious stone with black and white stripes),,,6
ṣayyahu,AJ,enjoyable,,,6
ṣebû,V,wish (for); desire,,,6
ṣehhertu,N,young girl; small pieces?,,,6
ṣinnarabu,N,(a large grasshopper),,,6
ṣippu,N,(a vegetable),,,6
ṣubbutu,AJ,taken; paralysed; cramped?; seized; lame; edged,,,6
ṣumāmītu,N,(severe) thirst; thirst,,,6
ṣênu,V,load (up); pile; load; heap (up),,,6
ṣīdānu,N,(attack of) vertigo,,,6
ṣūd pānī,N,vertigo,IGI.NIGIN IGI.NIGIN.NA,,6
ṣūhu,N,laugh; smile; laughter,,,6
ṭehûtu,N,clientele; approaching; close approach; close approach (of celestial bodies),,,6
ṭâbu,V,become good; make sound; be(come) good; make good,,,6
ṭāmû,N,one who twines,,,6
abšahuru,N,(a fish),,,5
abūtānû,N,(a fish),,,5
adammūmu,N,wasp,,,5
ahê,AV,separately,,,5
ahāʾiš,RP,each other; one another,,,5
akkû,N,owl,,,5
aliktu,AJ,going; (a kind of bow); (a kind of metal weapon),,,5
alku,AJ,going; moved; gone; elevated,DU,𒁺,5
amalītu,N,(a cultic functionary); designation of a goddess,,,5
amuššu,N,(a bulbous vegetable),,,5
amānītu,N,(a vegetable),,,5
ana šiāri,AV,tomorrow,,,5
anunūtu,N,(a plant),,,5
anḫu,AJ,tired; tired (person),,,5
aplu,AJ,paid,,,5
apputtu,J,please!; it is urgent!; please,,,5
arkû,AJ,rear; second-ranking; later,EGIR,𒂕,5
attū-,PP,belonging to; mine,,,5
ayākamēni,AV,anywhere,,,5
ayēša,QP,whither?,,,5
aššūtu,N,marriage,,,5
aḫḫāzu,N,'the seizer' (a demon),,,5
banduddû,N,bucket; basket,,,5
BAR,N,(lunar node),BAR,𒁇,5
barsallu,N,(a kind of sheep),,,5
Barsip,SN,Borsippa,,,5
barāri,AV,at dusk,,,5
batiqtu,N,denunciation; information,,,5
binna,V,give; give!,,,5
bizazû,N,frog; frog-shaped ornament,,,5
buppāniš,AV,face down,,,5
buštu,N,shame,,,5
buʾšu,N,stench,,,5
bātiqu,N,that which cuts off; informer,,,5
bēdu,AJ,spending the night,,,5
bēl arni,N,sinner,,,5
bēl hīṭi,N,criminal,,,5
bēlet dabābi,N,adversary; enemy; female adversary,,,5
bēt akīti,N,festival house,,,5
bēt mayāli,N,bedroom,,,5
bīt mummu,N,(sculpture) workshop of a temple,,,5
bītānû,N,inner; interior; viscera,,,5
dadānu,N,(a spiny plant); a spiny plant,,,5
dalpu,AJ,sleepless; restless,,,5
dapnu,AJ,aggressive,,,5
daqqu,AJ,minute; fine,,,5
dayyiṣu,N,one who treats unjustly; one who disrespects,,,5
digirru,N,the sign AN,,,5
dullulu,N,oppressed one; oppression,,,5
dīku,N,lifting; stirring up; (meaning unknown); killed one,,,5
dīru,N,intercalation,,,5
edinu,N,desert; the sign EDIN,,,5
egalkurrû,N,ritual for entering palace,,,5
egizaggû,N,(an ornamental stone),,,5
egû,AJ,negligent,,,5
elmēšu,N,(a valuable stone); amber,,,5
emmū,N,fuel,,,5
emru,AJ,reddish; swollen,,,5
Enūma-Anu-Enlil,N,(astrological omen series),,,5
epû,V,bake; shut up; baking,,,5
eqēqu,V,paralyse; being continuously unable to move; paralyzing,,,5
eriyātu,N,cold weather,,,5
ersû,N,ready one; (cloth) finisher,,,5
eslu,AJ,constipated,,,5
ezizzu,N,(an alliaceous vegetable),,,5
ezzetu,N,fury,,,5
eṣpu,N,doubled one,,,5
eṣīdu,N,reaper,,,5
eṭru,AJ,paid (off); taken away; safe,,,5
eṭṭēru,N,escaper; deserter,,,5
galaturru,N,junior lamentation-priest,,,5
gamartu,N,"totality; grammatical, of Sumerian morphemes",,,5
gamgammu,N,(a bird),,,5
ganānu,V,encircle; encircling,,,5
gappu,N,wing,,,5
garunnu,N,(a small cultic vessel); (small cultic vessel),,,5
garṣu,N,leprous one,,,5
gašrūtu,N,great power; great strength,,,5
gidimmu,N,(a spade or shovel); a bundle of reeds,,,5
gidubbû,N,stylus,GI.DUB,𒄀𒁾,5
gimuššu,N,reed pole,,,5
gitmāliš,AV,perfectly,,,5
gištuppu,N,plaque,,,5
guddanagadû,N,ox-herd,,,5
gulēnu,N,cloak,,,5
gummurtu,N,totality,,,5
gunnu,N,mass; (of troops) main force?,,,5
guršu,N,(ritual) sexual congress; chapel; wedding night,,,5
gusānu,N,(a leather sack),,,5
gâšu,V,vomit; run; running,,,5
gāmiru,AJ,strong; decisive,,,5
gāmirūtu,N,strength,,,5
halmatru,N,(kind of wood); (a kind of wood); part of a wagon,,,5
halāšu,V,scrape off; scraping off,,,5
hamištu,N,group of five,,,5
hamurītu,N,throat,,,5
hamāṣu,V,tear off; tearing off,,,5
hanqu,AJ,strangled; pressed; tightly attached; squeezed,,,5
harpu,N,early one,,,5
haslu,N,(a waterskin),,,5
hayyattu,N,terror; fit; (pathological) terror,,,5
hašû,V,crush; crushing; to be(come) dark; be(com)ing dark),,,5
haṣartu,N,greenness; (nasal) mucus; hair,,,5
helû,V,be(come) bright; illuminate; shine brightly,,,5
hetennu,N,(wooden part of chariot),,,5
hubūnu,N,(a small vessel),,,5
hummuru,AJ,crippled; crippled state,,,5
hurāṣānu,N,"goldie; bird; (a bird, perhaps) goldfinch",,,5
huršu,N,(kitchen) storeroom; pantry; storeroom,,,5
huṣannu,N,sash; belt,,,5
hādû,N,(malevolent) rejoicing; joy; (maleveolent) rejoicing; happy person,,,5
hēpû,N,breaker; worker breaking clods,,,5
ibbiltu,N,bird; (a bird),,,5
imbariš,AV,like fog,,,5
immugubbû,N,exercise tablet,,,5
ina pitti,AV,accordingly,,,5
innû,PP,ours,,,5
ishunnutu,N,bunch of grapes,,,5
išiktu,N,marshland; a type of ruler?; meaning unknown,,,5
iškaru,N,work assignment; series,,,5
iṣṣūr-ḫurri,N,rock-partridge?; bat?,,,5
kabartu,N,(part of foot); ankle-bone,,,5
kabittu,N,important one; honoured one; main body (of troops); left hand; weighty matter; main (army),,,5
kabru,N,thick one; fat one,,,5
kadru,AJ,"rearing up; aggressive; overbearing; rearing up, aggressive",,,5
kakkullu,N,mash-tub,,,5
kakkūsu,N,(leguminous vegetation),,,5
kamkissu,N,(part of body of animal),,,5
kamlu,AJ,angry,,,5
karallu,N,goad; designation of jewellery item,,,5
karku,AJ,rolled; bound; staying; accumulated,,,5
karurtu,N,hunger cramp,,,5
karābu,N,prayer,,,5
karṣa akālu,V,slander,,,5
katātu,V,quiver; be(com)ing disturbed; being disturbed; descend,,,5
kašurrû,N,of Gasur; basalt; one of Gasur,,,5
kaʾiššu,N,travelling merchant,,,5
kikallû,N,hard ground,,,5
kikkišu,N,reed fence; reed hut,,,5
kinburru,N,(nest)?; (a nest)?,,,5
kiribbu,N,(a garment),,,5
kirikaru,N,(a bird),,,5
kirinnu,N,clay lump,,,5
kissatu,N,(action of) gnawing; (an illness); fodder,,,5
kišdu,N,acquisition; limit,,,5
kubūsu,N,(handle)?; (a handle)?; reed treated in a specific way,,,5
kudimmu,N,(herb) yielding salt; (a herb),,,5
kullu,AJ,holding (back); holding,,,5
kulīlītu,N,dragonfly,,,5
kuppudu,AJ,planned; devised; plotted,,,5
kurgarrânu,N,(a kind of stone),,,5
kurkurru,N,(a bird); (a vessel),,,5
kurṣu,N,fetter,,,5
kuttumu,AJ,covered over; inaccessible,,,5
kāša,IP,to you; you,,,5
lahangiddû,N,(a slender flask),,,5
lahābu,V,rumble; rumbling,,,5
laqiu,AJ,taken; acquired; purchased,,,5
lattu,N,(a container of standard capacity); barrel,,,5
lazzu,AJ,enduring,,,5
lilibu,N,part of horse-trappings,,,5
limmubi,AJ,sign four times,,,5
lismu,N,running; race,,,5
littû,N,(a net),,,5
lummû,N,spider or snail,,,5
lušû,N,grease,,,5
lēmu,N,disobedient one,,,5
MA.GIL,N,(a medicinal plant),,,5
mahrātu,N,front part; bow (of boat),,,5
makallû,N,anchorage,,,5
makkītu,N,(processional) boat,,,5
malallû,N,(a type of freight boat),,,5
malkatu,N,ruler; queen,,,5
maltu,N,(a type of bowl),,,5
manûtu,N,count(ing); counting,,,5
maruštu,N,evil,,,5
marāsu,V,mix,,,5
masku,AJ,bad; ugly,,,5
mašaddu,N,(yoke-)shaft,,,5
mašallu,N,(a boat); groove; conduit; (a groove),,,5
mašgallu,N,billy goat,,,5
maškaru,N,waterskin,,,5
maškunu,N,tent; place,,,5
maʾʾuttu,N,subsistence (field); sustenance field,,,5
maṣḫatu,N,(a kind of flour),,,5
mehertu,N,produce; (woman) of equal rank; appeal,,,5
mešēltu,N,whetstone,,,5
meḫru,N,(a conifer); adversity,,,5
muhhuru,N,offering,,,5
mukammiru,N,one who piles; one who heaps up,,,5
mukīnu,N,one who establishes,,,5
mummidu,N,(meaning unknown); jester; meaning unknown,,,5
munahhišu,N,one who grants prosperity,,,5
mupaššiṭu,N,one who erases; one who obliterates,,,5
mupparkû,N,that which ceases,,,5
murteddû,N,guide; one who constantly pursues; constant escort; one who constantly follows,,,5
mušaklimu,N,one who reveals,,,5
muštālu,AJ,considering; thoughtful; deliberate,,,5
mušēniqtu,N,wet nurse,,,5
mušītiš,AV,during the night-time,,,5
muʾerrūtu,N,leadership,,,5
muṣṣibu,N,one who increases,,,5
mêburku,N,halfa grass,,,5
māhirtu,N,recipient; (boat) moving upstream; adversity(?),,,5
mānitu,N,(gentle) wind; breeze,,,5
mār ahi,N,nephew,,,5
mār damqi,N,chariot fighter,,,5
māt nakri,N,enemy land,,,5
nadānu,N,gift,,,5
nahbaṣu,N,(an oil flask); amphora,,,5
nahsu,AJ,(very) thin; sunken; sharp; meaning unclear,,,5
nakbasu,N,step of a staircase; (a mat),,,5
nakāšu,V,set aside; setting aside; setting fire to something,,,5
namaru,N,(a quiver)?,,,5
nambūbtu,N,wasp,,,5
namāṣu,N,(butter) churn,,,5
namšāhu,N,(leather container for cosmetics)?,,,5
namūtu,N,derision,,,5
namūṣu,N,(a tool),,,5
nappāṣu,N,wooden beater; club?,,,5
napīšu,N,breath(ing),,,5
napšu,N,life; breath,,,5
naqādu,V,be(come) in danger(ous) condition; be(com)ing anxious; be in danger(ous condition); being in danger(ous condition),,,5
nardappu,N,(a seeding apparatus); clamp,,,5
narṭabu,N,soaking vessel; beer mash; (soaking vessel),,,5
našāšu,V,shake; flap the wings; flap,,,5
naḫlaptu,N,cloak,,,5
nebû,N,bright one; shining one,,,5
nidītu,N,waste plot,,,5
niggulû,N,(something big)?,,,5
nigzanû,N,ear ornament,,,5
niklu,N,skill; device; deception,,,5
NIM,N,(after sunrise),NIM,𒉏,5
nipqū,N,excrement; breathing?,,,5
NU.LUH,N,(a plant),NU.LUH,𒉡𒈛,5
nuhar,N,ziggurat; high temple; ziggurrat,,,5
nuwāʾu,N,unitelligent one; unintelligent one; brute,,,5
nuʾʾudu,AJ,very praiseworthy,,,5
nâṣu,V,look down on; looking down on,,,5
nābutu,N,escaped one; escaped,,,5
nāmuru,N,watch-tower,,,5
nēburu,N,crossing,,,5
nēmattu,N,couch,,,5
nērubtu,N,flight,,,5
palhu,N,fearful one; reverent one; fearsome one,,,5
pappāsu,N,porridge,BA.BA.ZA,𒁀𒁀𒍝,5
paras,N,fraction,,,5
parziqqu,N,(a tool); part of harness for hanging,,,5
paskāru,N,(a headdress); headdress,,,5
pattūtu,N,open chariot,,,5
patû,AJ,open; distant,,,5
pašhu,AJ,resting; soothing; restful; peaceful,,,5
paʾû,N,(a bird),,,5
pelû,AJ,(light) red,,,5
pesēnu,V,cover up; hide; be(come) concealed; conceal,,,5
peṣu,AJ,white,BABBAR,,5
piqqannu,N,droppings; droppings (of sheep or gazelle),,,5
pirsānu,N,meaning unknown; detached,,,5
pitru,N,"unit; unit of weight, half a talent; (meaning unknown)",,,5
pitrusu,AJ,separate; ambiguous; cut off,,,5
puqqu,AJ,attentive,,,5
puṣû,N,unimproved plot; vacant plot,,,5
pālišu,N,borer; (a spear); drilling stone,,,5
pāšittu,N,obliterator; (an illness),,,5
pērūrūtu,N,mouse,,,5
qadilû,N,cloak; (a cloak),,,5
qalītu,N,parched grain; roasted barley,,,5
qardammu,N,enemy,,,5
qinû,N,envy,,,5
qirsu,N,cart,,,5
qulliu,N,(a vessel),,,5
qulālu,N,belittlement; disgrace,,,5
qumqummatu,N,(desig. of a sorceress); (a type of witch),,,5
qurbu,N,near one; group; relative,,,5
qutnu,N,thinness; neck (of gall bladder),SIG,𒋝,5
rabṣu,AJ,recumbent,,,5
rapāqu,V,rivet; fasten; put in fetters,,,5
redû,AJ,accompanied; followed; (meaning uncertain); accompanying,,,5
rugummû,N,claim,,,5
rušumtu,N,swamp; wet mud,,,5
rîšu,N,exultation,,,5
rāmu,AJ,(be)loved; loveable; loved one,,,5
rāpiqu,N,hoer,,,5
rāšû,AJ,rich; one who has; having; affected; acquired,,,5
rēštû,N,first one; firstborn,,,5
saharšubbû,N,leprosy,,,5
sahhû,N,(a stone),,,5
sakikkû,N,ailment; (title of omen series); (a muscular ailment); symptom(s),SA.GIG,𒊓𒍼,5
sakru,AJ,refined,,,5
saktu,AJ,silent,,,5
sallu,N,the sign SAL; tray?,,,5
sangilmud,N,(a bluish stone),,,5
sarāru,V,be(come) false; be(com)ing false; deceive,,,5
segû,V,roam; move; go off; move about,,,5
serhu,N,debris,,,5
sikiltu,N,acquisition(s); (hoarded) property,,,5
sinnišāniš,AV,into a woman,,,5
sissu,N,the sign ŠEŠ,,,5
suhhuru,AJ,curved; turned,,,5
sulhu,N,part of the hand,,,5
sunnuqu,AJ,checked; narrow,,,5
supurgillu,N,quince,,,5
surinakku,N,(a kind of bat),,,5
surāru,N,prayer,,,5
susbû,N,(a priest),,,5
sēkiru,N,(a canal worker); (a canal-worker),,,5
sīqu,N,narrow one; thigh; lap,,,5
sūq erbetti,N,fourways; crossroads; square,,,5
tabnītu,N,beautification; creation; offspring,,,5
tahāhu,V,pour (over)?; pouring over?; drench,,,5
taqnu,AJ,in order; good; safe,,,5
taqtītu,N,termination; end,TIL,𒌀,5
tarqītu,N,"oil-processing; perfume; oil-processing, perfume-making; perfume recipe",,,5
tarû,V,lead away; fetch; leading away; lift up; bring up,,,5
tattiktu,N,dripping,,,5
tatû,N,the sign TA,,,5
taʾû,V,eat; eating; foraging; grazing,,,5
teleʾû,AJ,very competent; capable; skilful,,,5
telītu,N,very competent (one); (a musical instrument),,,5
terinnu,N,cone (of conifer); cone; cone-shaped piece of jewelry,,,5
tespītu,N,prayer; petition,,,5
tillī,N,appendage; equipment,,,5
timru,AJ,buried,,,5
tišû,AJ,ninth,,,5
tubāqu,N,trap; a plant; root,,,5
tumahhu,N,(a ceremonial garment),,,5
tungallu,N,(a stringed instrument),,,5
tušaru,N,(a pouch); (a fence or weir); cocoon,,,5
tābiku,N,one who pours; one who pours out,,,5
tēkītu,N,complaint; excuse; unjust act or word; necessity,,,5
ubāru,N,(resident) alien; foreigner,,,5
uddu,N,log; beam; (a log),,,5
udukianakku,N,sheep for funerary sacrifice,,,5
uhultu,N,an alkaline salt; soda,,,5
ukkulu,AJ,very dark; darkened,,,5
ulluṣu,AJ,swollen; rejoicing,,,5
uppattu,N,mole-cricket?; mole cricket?,UB.PAD,𒌒𒉻,5
uqququ,AJ,tongue-tied; paralysed; dumb; that which is tongue-tied,,,5
uqqû,AJ,painted; something painted,,,5
urki,PRP,after; behind,EGIR,𒂕,5
ursūtu,N,"(a storeroom, deposit)?; magazine",,,5
ušalliš,AV,like lowland,,,5
uššuru,AJ,exempt; loose; abandoned,BAR,𒁇,5
watû,AJ,found,,,5
wāṣû,N,going out; one going out; going out one,,,5
wēdû,AJ,prominent; important,,,5
yakku,AJ,sign five times,,,5
yû,PP,mine,,,5
zadurû,N,(a clay object),,,5
zagingutumakû,N,(a kind of pale) lapis lazuli,,,5
zaqiptu,N,vertical; (a standard),,,5
zerru,N,(a reed fence),,,5
zibbutu,N,tail,KUN,𒆲,5
zibnu,N,(a reed mat); reed mat,,,5
zibītu,N,(a stone),,,5
zuāzu,V,divide; distribute,,,5
zāmânû,N,hostile; hostile one; enemy,,,5
zāʾerūtu,N,enmity,,,5
zīzu,AJ,divided,,,5
ādu,N,the sign AD,,,5
ālidu,N,one who begets,,,5
ēkânu,QP,where?; wherever,,,5
īn nūni,N,fish-eye stone,,,5
ša-lišāni,N,informer,,,5
ša-muhhi-bītāni,N,chamberlain,,,5
šabalbalû,N,(psychological) confusion; (a ritual),,,5
šabīhu,N,layer; dust storm,,,5
šagammu,N,upper door hinge?; door planking,,,5
šagikku,N,spleen; (a vessel),,,5
šaharru,AJ,porous?,,,5
šahšūru,N,apple (tree),,,5
šaklulu,AJ,complete; intact; completed; ungelded bull,,,5
šalamtiš,AV,like a corpse,,,5
šalbābu,AJ,wise?; wise,,,5
šaluppû,N,(part of intestines)?,,,5
šalussû,N,(part of intestines)?,,,5
šalṭu,N,authoritative one,,,5
šammu ēdu,N,asa foetida,,,5
šammāhu,N,large intestine,,,5
šanat rēš šarrūti,N,accession year,MU.SAG.LUGAL.LA MU.SAG.NAM.LUGAL.LA,𒈬𒊕𒈗𒆷,5
šangammāhu,N,(an exorcist); (exorcist),,,5
šannadu,N,(an illness),,,5
šanê ṭēmi,N,madness,,,5
šanūdu,AJ,illustrious; most famous; illustrous; illustrous one; brave,,,5
šapû,AJ,dense; sonorous; padded; thick,,,5
šapāṭu,V,give judgement; giving judgement; sweep?; inform strictly; punish,,,5
šarrāqiš,AV,like a thief,,,5
šartu,N,hair; falsehood,,,5
šatammūtu,N,post of šatammu; position of the chief temple administrator,,,5
šatû,AJ,knotted; woven,,,5
šaʾtu,N,(a type of thorny plant),,,5
šaʾūdu,V,take notice of; inform; indicate; spread tales,,,5
šaṭāru,N,written document,,,5
šerʾazu,N,(nut tree)?,,,5
šibšu,N,(an agricultural tax); straw tax,,,5
šilittu,N,split piece; splinter; scion,,,5
šimṭātu,N,(meaning unknown); (a cover),,,5
šinātu,N,urine,,,5
šinīt ṭēmi,N,madness,,,5
šitmuriš,AV,wildly; passionately,,,5
šitqultu,N,opposition; equinox,,,5
šiāšim,IP,to her,,,5
šišû,N,(person with eye disease),,,5
šubalkutu,AJ,sent; inciting; turned over; removed,,,5
šubšulu,AJ,boiled,,,5
šugītu,N,(a class of women),,,5
šuhṭu,N,anger,,,5
Šumma-izbu,N,(anomaly omen series),,,5
šumru,N,fury,,,5
šunamlullukku,N,'hand-of-a-human',,,5
šunūlu,AJ,laid down; buried,,,5
šuparruru,AJ,spread out,,,5
šurinnu,N,(divine) emblem,,,5
šurpu,N,burning; (a ritual),,,5
šushuru,N,(a dyed textile),,,5
šusummû,N,gift,,,5
šutashuru,AJ,surrounded,,,5
šutruṣu,AJ,spread; stretched out,,,5
