translit,pos,english,logograms,cuneiform,freq
elû,AJ,tall; high; upper; exalted; landed; prefixed; upper part,AN.TA AN,𒀭𒋫,405
nabalkutu,V,cross over; climb; turn over constantly; oppose; opposing; be(come) displaced; befall; bring across,BAL,𒁄,403
kaṣāru,V,tie; gather; bind up; bind; organize; put on; make a knot; to tie,,,402
ēpišu,N,doer; builder; maker; sorceror; performer; sorcerer; one who fashions; one who performs,,,399
ištaru,N,goddess,,,398
tarāṣu,V,be(come) in order; succeed; stretch out; point at; cause to stretch out; extend; be(com)ing in order; be(come) satisfactory,,,397
šeʾû,V,seek (out); search; seek; look all over; discover; looking all over; plot; keep seeking (out),KIN.KIN,𒆥𒆥,396
ina muhhi,PRP,on; incumbent on; to; at the expense of; concerning; on account of; upon; about,,,395
makkūru,N,property; possession(s),,,395
nakāsu,V,"cut, fell; cut; cut off; cut down; cutting; sever; slaughter; slaughtering",KUD,,394
būšu,N,goods; property; objects,TUR,𒌉,393
takālu,V,trust; encourage; trust in; trusting; entrust; put one's trust in; put one’s trust in; give confidence,,,392
